"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-05","65","79","53"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-06","70","84","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-07","75","85","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-08","75","84","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-09","75","86","67"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-10","74","83","69"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-11","76","87","70"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-12","76","85","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-13","62","72","55"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-14","61","67","54"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-15","60","71","51"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-16","68","75","62"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-17","58","73","47"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-18","52","57","48"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-19","52","60","45"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-20","51","59","44"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-21","64","75","58"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-22","74","83","69"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-23","75","86","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-24","75","81","70"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-25","76","87","64"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-26","72","85","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-27","73","77","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-28","72","77","65"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-29","65","66","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-30","69","80","63"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-03-31","77","85","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-01","79","90","70"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-02","76","85","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-03","79","88","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-04","78","83","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-05","76","84","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-06","62","69","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-07","61","63","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-08","59","71","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-09","68","76","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-10","66","71","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-11","68","78","62"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-12","67","78","57"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-13","68","80","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-14","70","79","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-15","79","90","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-16","72","78","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-17","67","77","54"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-18","69","83","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-19","74","84","66"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-20","76","81","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-21","73","82","65"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-22","71","78","62"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-23","65","67","59"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-24","62","75","56"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-25","70","79","63"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-26","74","82","69"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-27","71","79","63"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-28","72","85","60"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-29","66","72","59"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-04-30","69","87","54"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-01","73","85","61"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-02","74","82","67"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-03","75","85","66"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-04","75","83","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-05","81","92","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-06","80","90","70"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-07","78","79","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-08","79","86","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-09","75","79","69"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-10","73","77","67"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-11","79","87","76"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-12","82","88","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-13","80","85","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-14","76","85","69"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-15","80","89","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-16","78","90","70"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-17","76","87","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-18","80","91","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-19","82","92","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-20","81","92","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-21","77","81","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-22","78","86","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-23","80","91","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-24","81","90","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-25","80","89","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-26","81","92","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-27","81","90","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-28","80","89","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-29","80","87","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-30","81","90","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-05-31","80","88","74"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-01","80","90","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-02","81","91","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-03","82","93","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-04","78","87","68"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-05","78","88","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-06","75","87","70"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-07","79","92","70"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-08","81","93","70"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-09","79","95","70"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-10","84","94","71"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-11","83","94","73"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-12","85","95","77"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-13","85","94","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-14","85","95","79"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-15","88","98","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-16","88","96","82"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-17","88","98","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-18","88","100","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-19","88","99","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-20","89","99","83"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-21","88","99","72"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-22","86","97","78"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-23","88","98","82"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-24","88","96","82"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-25","88","98","81"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-26","87","97","80"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","2023-06-27","88","99","81"
