"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-06","67","83","55"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-07","73","83","67"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-08","74","87","66"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-09","73","86","62"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-10","72","79","63"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-11","72","86","63"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-12","75","84","59"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-13","60","71","53"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-14","59","67","50"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-15","56","70","44"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-16","66","75","63"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-17","57","72","45"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-18","51","56","47"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-19","49","59","39"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-20","47","56","37"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-21","61","73","53"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-22","73","83","68"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-23","75","85","71"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-24","74","83","70"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-25","74","85","60"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-26","66","82","54"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-27","68","77","63"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-28","71","77","62"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-29","63","68","56"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-30","65","76","58"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-03-31","76","84","73"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-01","78","89","65"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-02","73","83","63"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-03","78","87","74"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2023-04-04","77","83","73"
